N	Series computation
8290	3.14148
8300	3.14148
8310	3.14148
8320	3.14148
8330	3.14148
8340	3.14148
8350	3.14148
8360	3.14148
8370	3.14148
8380	3.14148
8390	3.14148
8400	3.14148
8410	3.14148
8420	3.14148
8430	3.14148
8440	3.14148
8450	3.14148
8460	3.14148
8470	3.14148
8480	3.14148
8490	3.14148
8500	3.14148
8510	3.14148
8520	3.14148
8530	3.14148
8540	3.14148
8550	3.14148
8560	3.14148
8570	3.14148
8580	3.14148
8590	3.14148
8600	3.14148
8610	3.14148
8620	3.14148
8630	3.14148
8640	3.14148
8650	3.14148
8660	3.14148
8670	3.14148
8680	3.14148
8690	3.14148
8700	3.14148
8710	3.14148
8720	3.14148
8730	3.14148
8740	3.14148
8750	3.14148
8760	3.14148
8770	3.14148
8780	3.14148
8790	3.14148
8800	3.14148
8810	3.14148
8820	3.14148
8830	3.14148
8840	3.14148
8850	3.14148
8860	3.14148
8870	3.14148
8880	3.14149
8890	3.14149
8900	3.14149
8910	3.14149
8920	3.14149
8930	3.14149
8940	3.14149
8950	3.14149
8960	3.14149
8970	3.14149
8980	3.14149
8990	3.14149
9000	3.14149
9010	3.14149
9020	3.14149
9030	3.14149
9040	3.14149
9050	3.14149
9060	3.14149
9070	3.14149
9080	3.14149
9090	3.14149
9100	3.14149
9110	3.14149
9120	3.14149
9130	3.14149
9140	3.14149
9150	3.14149
9160	3.14149
9170	3.14149
9180	3.14149
9190	3.14149
9200	3.14149
9210	3.14149
9220	3.14149
9230	3.14149
9240	3.14149
9250	3.14149
9260	3.14149
9270	3.14149
9280	3.14149
9290	3.14149
9300	3.14149
9310	3.14149
9320	3.14149
9330	3.14149
9340	3.14149
9350	3.14149
9360	3.14149
9370	3.14149
9380	3.14149
9390	3.14149
9400	3.14149
9410	3.14149
9420	3.14149
9430	3.14149
9440	3.14149
9450	3.14149
9460	3.14149
9470	3.14149
9480	3.14149
9490	3.14149
9500	3.14149
9510	3.14149
9520	3.14149
9530	3.14149
9540	3.14149
9550	3.14149
9560	3.14149
9570	3.14149
9580	3.14149
9590	3.14149
9600	3.14149
9610	3.14149
9620	3.14149
9630	3.14149
9640	3.14149
9650	3.14149
9660	3.14149
9670	3.14149
9680	3.14149
9690	3.14149
9700	3.14149
9710	3.14149
9720	3.14149
9730	3.14149
9740	3.14149
9750	3.14149
9760	3.14149
9770	3.14149
9780	3.1415
9790	3.1415
9800	3.1415
9810	3.1415
9820	3.1415
9830	3.1415
9840	3.1415
9850	3.1415
9860	3.1415
9870	3.1415
9880	3.1415
9890	3.1415
9900	3.1415
9910	3.1415
9920	3.1415
9930	3.1415
9940	3.1415
9950	3.1415
9960	3.1415
9970	3.1415
9980	3.1415
9990	3.1415
10000	3.1415
10010	3.1415
10020	3.1415
10030	3.1415
10040	3.1415
10050	3.1415
10060	3.1415
10070	3.1415
10080	3.1415
10090	3.1415
10100	3.1415
10110	3.1415
10120	3.1415
10130	3.1415
10140	3.1415
10150	3.1415
10160	3.1415
10170	3.1415
10180	3.1415
10190	3.1415
10200	3.1415
10210	3.1415
10220	3.1415
10230	3.1415
10240	3.1415
10250	3.1415
10260	3.1415
10270	3.1415
10280	3.1415
10290	3.1415
10300	3.1415
10310	3.1415
10320	3.1415
10330	3.1415
10340	3.1415
10350	3.1415
10360	3.1415
10370	3.1415
10380	3.1415
10390	3.1415
10400	3.1415
10410	3.1415
10420	3.1415
10430	3.1415
10440	3.1415
10450	3.1415
10460	3.1415
10470	3.1415
10480	3.1415
10490	3.1415
10500	3.1415
10510	3.1415
10520	3.1415
10530	3.1415
10540	3.1415
10550	3.1415
10560	3.1415
10570	3.1415
10580	3.1415
10590	3.1415
10600	3.1415
10610	3.1415
10620	3.1415
10630	3.1415
10640	3.1415
10650	3.1415
10660	3.1415
10670	3.1415
10680	3.1415
10690	3.1415
10700	3.1415
10710	3.1415
10720	3.1415
10730	3.1415
10740	3.1415
10750	3.1415
10760	3.1415
10770	3.1415
10780	3.1415
10790	3.1415
10800	3.1415
10810	3.1415
10820	3.1415
10830	3.1415
10840	3.1415
10850	3.1415
10860	3.1415
10870	3.1415
10880	3.1415
10890	3.1415
10900	3.14151
10910	3.14151
10920	3.14151
10930	3.14151
10940	3.14151
10950	3.14151
10960	3.14151
10970	3.14151
10980	3.14151
10990	3.14151
11000	3.14151
11010	3.14151
11020	3.14151
11030	3.14151
11040	3.14151
11050	3.14151
11060	3.14151
11070	3.14151
11080	3.14151
11090	3.14151
11100	3.14151
11110	3.14151
11120	3.14151
11130	3.14151
11140	3.14151
11150	3.14151
11160	3.14151
11170	3.14151
11180	3.14151
11190	3.14151
11200	3.14151
11210	3.14151
11220	3.14151
11230	3.14151
11240	3.14151
11250	3.14151
11260	3.14151
11270	3.14151
11280	3.14151
11290	3.14151
11300	3.14151
11310	3.14151
11320	3.14151
11330	3.14151
11340	3.14151
11350	3.14151
11360	3.14151
11370	3.14151
11380	3.14151
11390	3.14151
11400	3.14151
11410	3.14151
11420	3.14151
11430	3.14151
11440	3.14151
11450	3.14151
11460	3.14151
11470	3.14151
11480	3.14151
11490	3.14151
11500	3.14151
11510	3.14151
11520	3.14151
11530	3.14151
11540	3.14151
11550	3.14151
11560	3.14151
11570	3.14151
11580	3.14151
11590	3.14151
11600	3.14151
11610	3.14151
11620	3.14151
11630	3.14151
11640	3.14151
11650	3.14151
11660	3.14151
11670	3.14151
11680	3.14151
11690	3.14151
11700	3.14151
11710	3.14151
11720	3.14151
11730	3.14151
11740	3.14151
11750	3.14151
11760	3.14151
11770	3.14151
11780	3.14151
11790	3.14151
11800	3.14151
11810	3.14151
11820	3.14151
11830	3.14151
11840	3.14151
11850	3.14151
11860	3.14151
11870	3.14151
11880	3.14151
11890	3.14151
11900	3.14151
11910	3.14151
11920	3.14151
11930	3.14151
11940	3.14151
11950	3.14151
11960	3.14151
11970	3.14151
11980	3.14151
11990	3.14151
12000	3.14151
12010	3.14151
12020	3.14151
12030	3.14151
12040	3.14151
12050	3.14151
12060	3.14151
12070	3.14151
12080	3.14151
12090	3.14151
12100	3.14151
12110	3.14151
12120	3.14151
12130	3.14151
12140	3.14151
12150	3.14151
12160	3.14151
12170	3.14151
12180	3.14151
12190	3.14151
12200	3.14151
12210	3.14151
12220	3.14151
12230	3.14151
12240	3.14151
12250	3.14151
12260	3.14151
12270	3.14151
12280	3.14151
12290	3.14151
12300	3.14152
12310	3.14152
12320	3.14152
12330	3.14152
12340	3.14152
12350	3.14152
12360	3.14152
12370	3.14152
12380	3.14152
12390	3.14152
12400	3.14152
12410	3.14152
12420	3.14152
12430	3.14152
12440	3.14152
12450	3.14152
12460	3.14152
12470	3.14152
12480	3.14152
12490	3.14152
12500	3.14152
12510	3.14152
12520	3.14152
12530	3.14152
12540	3.14152
12550	3.14152
12560	3.14152
12570	3.14152
12580	3.14152
12590	3.14152
12600	3.14152
12610	3.14152
12620	3.14152
12630	3.14152
12640	3.14152
12650	3.14152
12660	3.14152
12670	3.14152
12680	3.14152
12690	3.14152
12700	3.14152
12710	3.14152
12720	3.14152
12730	3.14152
12740	3.14152
12750	3.14152
12760	3.14152
12770	3.14152
12780	3.14152
12790	3.14152
12800	3.14152
12810	3.14152
12820	3.14152
12830	3.14152
12840	3.14152
12850	3.14152
12860	3.14152
12870	3.14152
12880	3.14152
12890	3.14152
12900	3.14152
12910	3.14152
12920	3.14152
12930	3.14152
12940	3.14152
12950	3.14152
12960	3.14152
12970	3.14152
12980	3.14152
12990	3.14152
13000	3.14152
13010	3.14152
13020	3.14152
13030	3.14152
13040	3.14152
13050	3.14152
13060	3.14152
13070	3.14152
13080	3.14152
13090	3.14152
13100	3.14152
13110	3.14152
13120	3.14152
13130	3.14152
13140	3.14152
13150	3.14152
13160	3.14152
13170	3.14152
13180	3.14152
13190	3.14152
13200	3.14152
13210	3.14152
13220	3.14152
13230	3.14152
13240	3.14152
13250	3.14152
13260	3.14152
13270	3.14152
13280	3.14152
13290	3.14152
13300	3.14152
13310	3.14152
13320	3.14152
13330	3.14152
13340	3.14152
13350	3.14152
13360	3.14152
13370	3.14152
13380	3.14152
13390	3.14152
13400	3.14152
13410	3.14152
13420	3.14152
13430	3.14152
13440	3.14152
13450	3.14152
13460	3.14152
13470	3.14152
13480	3.14152
13490	3.14152
13500	3.14152
13510	3.14152
13520	3.14152
13530	3.14152
13540	3.14152
13550	3.14152
13560	3.14152
13570	3.14152
13580	3.14152
13590	3.14152
13600	3.14152
13610	3.14152
13620	3.14152
13630	3.14152
13640	3.14152
13650	3.14152
13660	3.14152
13670	3.14152
13680	3.14152
13690	3.14152
13700	3.14152
13710	3.14152
13720	3.14152
13730	3.14152
13740	3.14152
13750	3.14152
13760	3.14152
13770	3.14152
13780	3.14152
13790	3.14152
13800	3.14152
13810	3.14152
13820	3.14152
13830	3.14152
13840	3.14152
13850	3.14152
13860	3.14152
13870	3.14152
13880	3.14152
13890	3.14152
13900	3.14152
13910	3.14152
13920	3.14152
13930	3.14152
13940	3.14152
13950	3.14152
13960	3.14152
13970	3.14152
13980	3.14152
13990	3.14152
14000	3.14152
14010	3.14152
14020	3.14152
14030	3.14152
14040	3.14152
14050	3.14152
14060	3.14152
14070	3.14152
14080	3.14152
14090	3.14152
14100	3.14152
14110	3.14152
14120	3.14153
14130	3.14153
14140	3.14153
14150	3.14153
14160	3.14153
14170	3.14153
14180	3.14153
14190	3.14153
14200	3.14153
14210	3.14153
14220	3.14153
14230	3.14153
14240	3.14153
14250	3.14153
14260	3.14153
14270	3.14153
14280	3.14153
14290	3.14153
14300	3.14153
14310	3.14153
14320	3.14153
14330	3.14153
14340	3.14153
14350	3.14153
14360	3.14153
14370	3.14153
14380	3.14153
14390	3.14153
14400	3.14153
14410	3.14153
14420	3.14153
14430	3.14153
14440	3.14153
14450	3.14153
14460	3.14153
14470	3.14153
14480	3.14153
14490	3.14153
14500	3.14153
14510	3.14153
14520	3.14153
14530	3.14153
14540	3.14153
14550	3.14153
14560	3.14153
14570	3.14153
14580	3.14153
14590	3.14153
14600	3.14153
14610	3.14153
14620	3.14153
14630	3.14153
14640	3.14153
14650	3.14153
14660	3.14153
14670	3.14153
14680	3.14153
14690	3.14153
14700	3.14153
14710	3.14153
14720	3.14153
14730	3.14153
14740	3.14153
14750	3.14153
14760	3.14153
14770	3.14153
14780	3.14153
14790	3.14153
14800	3.14153
14810	3.14153
14820	3.14153
14830	3.14153
14840	3.14153
14850	3.14153
14860	3.14153
14870	3.14153
14880	3.14153
14890	3.14153
14900	3.14153
14910	3.14153
14920	3.14153
14930	3.14153
14940	3.14153
14950	3.14153
14960	3.14153
14970	3.14153
14980	3.14153
14990	3.14153
15000	3.14153
15010	3.14153
15020	3.14153
15030	3.14153
15040	3.14153
15050	3.14153
15060	3.14153
15070	3.14153
15080	3.14153
15090	3.14153
15100	3.14153
15110	3.14153
15120	3.14153
15130	3.14153
15140	3.14153
15150	3.14153
15160	3.14153
15170	3.14153
15180	3.14153
15190	3.14153
15200	3.14153
15210	3.14153
15220	3.14153
15230	3.14153
15240	3.14153
15250	3.14153
15260	3.14153
15270	3.14153
15280	3.14153
15290	3.14153
15300	3.14153
